# arXiv:1910.11026 — Table 2 (Tab. 2 in paper)
# Free energy difference Delta_F * 1e3, volumes 4^4 to 10^4
# Parameters: lambda=1.0, m=1.0
# Definition: Delta_F = F - F_pq = -(1/V) * log(<e^{i phi}>_pq)   [per unit volume]
# -- means the interpolation method did not produce a robust result
# Columns: mu, dF_4^4, err_4^4, dF_6^4, err_6^4, dF_8^4, err_8^4, dF_10^4, err_10^4
# Values are Delta_F * 1e3 (multiply column values by 1e-3 to get Delta_F)
mu,dF_4x4,err_4x4,dF_6x6,err_6x6,dF_8x8,err_8x8,dF_10x10,err_10x10
0.1,0.1448,0.0001,0.1541,0.0001,0.1547,0.0001,0.15473,0.00005
0.2,0.5840,0.0004,0.6233,0.0003,0.6255,0.0002,0.62575,0.00009
0.3,1.337,0.001,1.428,0.001,1.433,0.001,1.4344,0.0003
0.4,2.423,0.002,2.599,0.002,2.616,0.002,2.6167,0.0005
0.5,3.883,0.003,4.194,0.004,4.225,0.006,4.227,0.001
0.6,5.761,0.004,6.277,0.001,6.333,0.002,6.340,0.001
0.7,8.10,0.02,8.938,0.005,9.06,0.01,9.068,0.003
0.8,11.00,0.02,12.28,0.01,12.48,0.01,12.523,0.003
0.9,14.55,0.04,16.52,0.02,16.82,0.02,16.90,0.04
1.0,18.7,0.1,21.59,0.02,--,--, --,--
1.1,23.50,0.08,27.7,0.4,--,--, --,--
1.2,27.87,0.09,33.0,0.5,--,--, --,--
1.3,30.10,0.08,35.3,0.2,--,--, --,--
1.4,32.1,0.1,38.1,0.2,38.5,0.5,--,--
1.6,36.2,0.1,42.45,0.09,44.3,0.2,44.0,0.7
1.8,39.6,0.2,47.5,0.1,48.9,0.4,49.5,0.7
2.0,43.5,0.2,51.9,0.1,54.0,0.5,54.2,0.2
